时间戳,日期,时间,股票代码,操作类型,操作比例,当前价格,建议买入价格,建议卖出价格,预测数量,预测金额,持仓数量,可用资金,总资产,操作状态,备注
2025-11-30 05:18:59,2025-11-30,05:18:59,sh.600730,买入,100%,12.61,12.58,,-0.02,-0.20,1584.85,-0.20,20000.00,预测,模型预测: 买入 100%
2025-11-30 05:18:59,2025-11-30,05:18:59,sh.600730,买入,100%,12.61,12.58,,-0.02,-0.20,1584.85,-0.20,19984.81,已执行,仓位变动: 买入 100% | 手续费+税费: 5.20 元 | 成交价(含滑点): 12.62
2025-11-30 05:28:55,2025-11-30,05:28:55,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.85,-0.20,20000.00,预测,模型预测: 买入 100%
2025-11-30 05:28:55,2025-11-30,05:28:55,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.85,-0.20,19984.81,已执行,仓位变动: 买入 100% | 手续费+税费: 5.20 元 | 成交价(含滑点): 12.62
2025-11-30 05:40:54,2025-11-30,05:40:54,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,0.00,-0.20,-0.15,预测,模型预测: 买入 100%
2025-11-30 05:57:54,2025-11-30,05:57:54,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.86,-0.20,20000.05,预测,模型预测: 买入 100%
2025-11-30 05:57:54,2025-11-30,05:57:54,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.86,-0.20,19984.86,已执行,仓位变动: 买入 100% | 手续费+税费: 5.20 元 | 成交价(含滑点): 12.62
2025-11-30 06:03:47,2025-11-30,06:03:47,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1594.85,-0.20,20126.02,预测,模型预测: 买入 100%
2025-11-30 06:03:47,2025-11-30,06:03:47,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1594.85,-0.20,20110.83,已执行,仓位变动: 买入 100% | 手续费+税费: 5.20 元 | 成交价(含滑点): 12.62
2025-11-30 06:14:31,2025-11-30,06:14:31,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.86,-0.20,20000.00,预测,模型预测: 买入 100%
2025-11-30 06:14:31,2025-11-30,06:14:31,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.86,-0.20,19984.87,已执行,仓位变动: 买入 100% | 手续费+税费: 5.20 元 | 成交价(含滑点): 12.62
2025-11-30 06:21:41,2025-11-30,06:21:41,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.85,-0.20,20000.00,预测,模型预测: 买入 100%
2025-11-30 06:21:41,2025-11-30,06:21:41,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.85,-0.20,19984.81,已执行,仓位变动: 买入 100% | 手续费+税费: 5.20 元 | 成交价(含滑点): 12.62
2025-11-30 06:31:57,2025-11-30,06:31:57,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.85,-0.20,20000.00,预测,模型预测: 买入 100%
2025-11-30 06:31:57,2025-11-30,06:31:57,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.85,-0.20,19984.81,已执行,仓位变动: 买入 100% | 手续费+税费: 5.20 元 | 成交价(含滑点): 12.62
2025-11-30 17:37:53,2025-11-30,17:37:53,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.85,-0.20,20000.00,预测,模型预测: 买入 100%
2025-11-30 17:37:53,2025-11-30,17:37:53,sh.600730,买入,100%,12.61,12.58,,0.00,0.00,1584.85,-0.20,19984.81,已执行,仓位变动: 买入 100% | 手续费+税费: 5.20 元 | 成交价(含滑点): 12.62
